cont_age,resp_age,count
70+,0-9,1.109452736318408
70+,10-19,1.2238805970149254
70+,20-29,1.1261261261261262
70+,30-39,1.1843971631205674
70+,40-49,1.2173913043478262
70+,50-59,1.206896551724138
70+,60-69,1.5370370370370368
70+,70+,1.3333333333333333
60-69,0-9,1.482897384305835
60-69,10-19,1.4779874213836477
60-69,20-29,1.541501976284585
60-69,30-39,1.6203389830508474
60-69,40-49,1.7872340425531914
60-69,50-59,1.3863636363636365
60-69,60-69,1.9444444444444444
60-69,70+,2.014925373134328
50-59,0-9,1.3711340206185567
50-59,10-19,1.5414012738853504
50-59,20-29,2.0984455958549217
50-59,30-39,2.1843575418994408
50-59,40-49,2.525252525252525
50-59,50-59,2.8245614035087723
50-59,60-69,3.0080645161290325
50-59,70+,2.4166666666666665
40-49,0-9,1.6577380952380951
40-49,10-19,2.079691516709512
40-49,20-29,3.007843137254902
40-49,30-39,3.388888888888889
40-49,40-49,4.382716049382717
40-49,50-59,4.019230769230768
40-49,60-69,3.3571428571428568
40-49,70+,2.5061728395061733
30-39,0-9,2.6841243862520456
30-39,10-19,2.9654471544715446
30-39,20-29,4.378612716763007
30-39,30-39,5.048192771084337
30-39,40-49,5.7682119205298035
30-39,50-59,4.241935483870968
30-39,60-69,4.297674418604651
30-39,70+,2.5543478260869565
20-29,0-9,2.9192751235584837
20-29,10-19,3.053613053613053
20-29,20-29,5.691931540342297
20-29,30-39,5.7645348837209305
20-29,40-49,6.985915492957746
20-29,50-59,4.357142857142857
20-29,60-69,3.9230769230769234
20-29,70+,3.1621621621621623
10-19,0-9,3.7559726962457343
10-19,10-19,7.162162162162162
10-19,20-29,4.331360946745562
10-19,30-39,5.109375
10-19,40-49,5.4
10-19,50-59,3.701754385964912
10-19,60-69,3.5128205128205128
10-19,70+,2.8785046728971966
0-9,0-9,6.308677098150783
0-9,10-19,4.121399176954733
0-9,20-29,4.35308056872038
0-9,30-39,4.040767386091127
0-9,40-49,3.4094488188976384
0-9,50-59,3.1538461538461537
0-9,60-69,3.5637860082304527
0-9,70+,2.5306122448979598
